Age,Gender,Region,Location,Education_Level,Employment_Status,Years_Of_Experience,Monthly_Income_NGN
37,Male,South West,Rural,None,Unemployed,19.0,0.0
54,Female,North West,Urban,Secondary,Employed,39.0,
35,Female,North West,Rural,Secondary,Employed,16.0,
30,Male,North Central,Rural,Tertiary,Unemployed,9.0,0.0
59,Female,North Central,Rural,Secondary,Employed,44.0,61961.44
32,Male,North West,Rural,Primary,Underemployed,16.0,16032.24
61,Male,North West,Urban,Primary,Underemployed,45.0,30439.64
38,Male,South West,Urban,None,Underemployed,22.0,26175.78
40,Female,South East,Rural,Secondary,Underemployed,22.0,78373.71
39,Female,South South,Urban,Tertiary,Underemployed,18.0,74322.25
59,Female,,Urban,Secondary,Underemployed,44.0,79263.93
55,Male,South East,Urban,,Underemployed,39.0,42854.13
43,Male,South West,Urban,Primary,Unemployed,26.0,0.0
29,Male,South South,Rural,Secondary,Unemployed,10.0,0.0
59,Male,South West,Rural,Primary,Underemployed,41.0,47209.8
15,Female,South South,Urban,None,Employed,0.0,115192.73
39,Male,South South,Urban,Secondary,Underemployed,22.0,
21,Female,South South,Urban,Secondary,Unemployed,6.0,0.0
23,Female,North East,Urban,Primary,Employed,,84647.08
38,Male,North West,Urban,Secondary,Unemployed,20.0,
15,Female,North West,Urban,Secondary,Employed,0.0,140769.02
58,Male,North West,Rural,,Employed,39.0,150781.4
22,Male,North West,Rural,Secondary,Underemployed,6.0,47827.59
38,Male,North West,Urban,Primary,Underemployed,20.0,26945.43
25,Female,North East,Rural,,Underemployed,7.0,27779.14
31,Male,North Central,Rural,Primary,Employed,15.0,148603.35
22,Female,,Urban,Primary,Underemployed,3.0,37698.16
49,Female,,Urban,Secondary,Employed,34.0,172116.48
49,Male,South West,Rural,Tertiary,Unemployed,25.0,0.0
47,Female,South West,Urban,,Underemployed,31.0,32822.6
19,Female,South West,Rural,None,Underemployed,4.0,
56,Male,South South,Rural,Primary,Employed,41.0,
53,Male,North West,Urban,Secondary,Unemployed,38.0,0.0
55,Female,North West,Rural,Primary,Underemployed,36.0,39631.43
42,Male,North Central,Rural,Secondary,Employed,26.0,111103.74
21,Female,North West,Urban,Secondary,Employed,2.0,169272.37
23,Male,South West,Urban,Secondary,Underemployed,,55487.46
22,Male,North East,Rural,Tertiary,Unemployed,0.0,0.0
26,Male,North East,Rural,Primary,Underemployed,8.0,8343.5
48,Male,North West,Rural,Tertiary,Employed,24.0,189757.2
47,Female,,Rural,,Underemployed,30.0,18549.25
62,Male,South West,Urban,None,Unemployed,46.0,0.0
37,Female,South West,Urban,Secondary,Unemployed,,0.0
38,Female,North West,Urban,Secondary,Unemployed,19.0,0.0
51,Female,North West,Urban,Tertiary,Unemployed,30.0,0.0
49,Female,North West,Rural,Primary,Underemployed,,37732.55
58,Male,North West,Rural,Tertiary,Unemployed,34.0,0.0
54,Male,South South,Rural,None,Underemployed,38.0,38113.66
36,Female,North West,Rural,None,Employed,20.0,109896.78
41,Male,South West,Urban,Primary,Unemployed,23.0,0.0
49,Female,South South,Urban,Secondary,Employed,30.0,139572.51
15,Male,North West,Urban,Secondary,Unemployed,0.0,0.0
49,Female,,Rural,Secondary,Underemployed,33.0,66483.06
51,Female,South South,Urban,Primary,Underemployed,35.0,25539.35
61,Female,South East,Rural,None,Employed,,123802.89
28,Female,North Central,Rural,Primary,Employed,,134890.7
17,Female,South East,Urban,Secondary,Employed,2.0,183362.97
15,Female,South East,Urban,Secondary,Employed,0.0,80191.91
19,Female,North East,Rural,Secondary,Unemployed,1.0,0.0
40,Male,South South,Urban,Tertiary,Employed,19.0,168383.22
28,Male,North Central,Rural,None,Employed,11.0,71155.32
53,Male,North Central,Rural,Primary,Employed,,69882.34
41,Female,South South,Urban,Secondary,Underemployed,22.0,55385.42
23,Male,,Urban,Secondary,Unemployed,6.0,0.0
29,Female,North East,Urban,Secondary,Underemployed,13.0,51161.84
29,Female,North West,Rural,Tertiary,Employed,9.0,
40,Female,South West,Urban,Secondary,Underemployed,23.0,44807.35
56,Female,South West,Rural,None,Underemployed,,28793.54
27,Male,South West,Rural,None,Employed,9.0,106345.13
46,Female,South South,Rural,Secondary,Employed,27.0,88974.16
53,Female,South South,Urban,Secondary,Employed,,93969.49
63,Male,North Central,Rural,Primary,Underemployed,48.0,
46,Male,North West,Rural,None,Employed,30.0,83531.35
18,Female,North Central,Rural,Secondary,Underemployed,0.0,67737.15
44,Female,South West,Rural,,Employed,29.0,141863.25
51,Male,South West,Rural,None,Underemployed,35.0,16072.22
37,Female,North Central,Rural,Secondary,Employed,21.0,139093.63
53,Female,,Urban,,Underemployed,35.0,34702.32
59,Male,North East,Rural,Tertiary,Underemployed,37.0,90150.29
29,Female,North East,Urban,Primary,Underemployed,11.0,28723.11
57,Female,North Central,Rural,Secondary,Employed,42.0,86157.57
43,Female,North West,Rural,Secondary,Employed,28.0,168463.66
50,Female,North East,Urban,None,Underemployed,31.0,29085.78
27,Male,North East,Urban,Secondary,Employed,11.0,88197.38
46,Male,South West,Rural,None,Underemployed,31.0,34117.22
21,Male,North West,Urban,Secondary,Underemployed,4.0,38858.3
36,Male,South East,Urban,Secondary,Underemployed,19.0,35763.71
42,Male,South West,Urban,None,Employed,24.0,88735.82
16,Female,South West,Rural,Primary,Underemployed,1.0,24011.42
56,Female,South West,Rural,,Underemployed,41.0,
59,Female,North East,Rural,,Underemployed,40.0,37257.71
20,Female,North Central,Rural,Secondary,Unemployed,1.0,0.0
42,Female,South South,Rural,Primary,Underemployed,23.0,28975.55
42,Male,,Urban,Tertiary,Underemployed,22.0,110054.72
58,Male,South South,Urban,Secondary,Underemployed,40.0,37182.36
58,Female,South West,Rural,Secondary,Unemployed,40.0,0.0
34,Female,North West,Rural,None,Underemployed,16.0,14451.95
44,Male,North West,Rural,None,Underemployed,26.0,31338.93
25,Female,South West,Rural,Primary,Employed,8.0,
42,Male,North East,Rural,Primary,Underemployed,27.0,34778.88
39,Female,North East,Urban,Secondary,Underemployed,23.0,98230.61
53,Female,South East,Rural,Secondary,Underemployed,38.0,54980.89
47,Female,North East,Urban,Primary,Underemployed,29.0,32119.97
15,Female,North East,Urban,Secondary,Employed,,42406.94
41,Female,South East,Rural,Primary,Underemployed,24.0,33851.53
27,Female,South East,Rural,None,Underemployed,12.0,31518.01
55,Female,North East,Urban,,Underemployed,34.0,70221.89
17,Female,South East,Rural,Secondary,Employed,0.0,115075.96
53,Female,South South,Rural,Secondary,Underemployed,36.0,48978.49
20,Male,North Central,Rural,Primary,Underemployed,2.0,28380.64
22,Male,North West,Rural,Primary,Underemployed,4.0,
41,Female,North West,Urban,None,Underemployed,23.0,26662.24
23,Male,North Central,Rural,Tertiary,Unemployed,0.0,0.0
51,Male,North East,Rural,Secondary,Underemployed,,52539.71
47,Female,South South,Rural,None,Underemployed,29.0,26364.89
56,Female,South East,Rural,Tertiary,Employed,35.0,185254.4
58,Female,South East,Urban,Secondary,Employed,42.0,
38,Male,South South,Urban,Secondary,Underemployed,19.0,45801.34
29,Male,South South,Rural,None,Unemployed,10.0,0.0
46,Male,North East,Urban,,Underemployed,28.0,12666.29
46,Male,North West,Rural,Primary,Underemployed,29.0,32189.77
38,Male,South West,Urban,Primary,Underemployed,21.0,27213.81
55,Male,North East,Urban,Secondary,Unemployed,,0.0
63,Female,North Central,Urban,Secondary,Underemployed,46.0,49088.89
63,Female,South West,Rural,Secondary,Employed,46.0,77431.51
26,Male,South South,Urban,Tertiary,Employed,5.0,
53,Male,North Central,Rural,Primary,Employed,38.0,
16,Female,South East,Urban,Tertiary,Unemployed,0.0,0.0
17,Male,North East,Rural,Tertiary,Unemployed,0.0,0.0
63,Female,South West,Urban,,Employed,46.0,171505.42
51,Male,North West,Urban,None,Unemployed,34.0,0.0
63,Male,South South,Rural,Secondary,Underemployed,48.0,67204.69
31,Male,North West,Rural,Primary,Underemployed,14.0,35330.86
63,Male,South West,Urban,Secondary,Underemployed,48.0,32865.76
16,Female,North West,Rural,Primary,Underemployed,0.0,46590.48
16,Female,North East,Urban,Secondary,Underemployed,0.0,36085.47
42,Female,North Central,Urban,Secondary,Unemployed,26.0,0.0
37,Male,North Central,Urban,None,Unemployed,18.0,0.0
51,Female,North West,Urban,Primary,Underemployed,33.0,27584.33
46,Female,North East,Urban,,Underemployed,29.0,36362.12
47,Female,South West,Urban,Secondary,Unemployed,28.0,0.0
15,Male,South West,Rural,Tertiary,Unemployed,0.0,0.0
33,Male,North West,Urban,Primary,Employed,17.0,122696.22
16,Female,South West,Rural,Secondary,Underemployed,0.0,58583.55
58,Female,North West,Urban,Primary,Underemployed,39.0,26397.4
40,Male,North Central,Urban,Secondary,Employed,24.0,98150.46
46,Male,North East,Urban,Tertiary,Employed,23.0,
20,Male,South West,Rural,Primary,Employed,1.0,98820.58
46,Female,North East,Rural,Tertiary,Unemployed,25.0,0.0
18,Male,South South,Rural,Secondary,Underemployed,0.0,47573.43
25,Female,North East,Urban,Primary,Underemployed,8.0,23577.99
31,Male,North West,Rural,Tertiary,Employed,11.0,
52,Female,North East,Rural,None,Employed,35.0,105940.68
38,Female,South South,Urban,None,Underemployed,21.0,29853.96
19,Male,South West,Urban,Secondary,Employed,4.0,133742.16
48,Female,South West,Urban,Secondary,Unemployed,31.0,0.0
20,Male,South South,Rural,Secondary,Employed,3.0,183487.35
36,Female,South South,Urban,None,Unemployed,,0.0
25,Female,,Rural,Tertiary,Unemployed,,0.0
62,Male,North West,Rural,Secondary,Underemployed,,41074.21
30,Female,South East,Urban,Tertiary,Employed,6.0,151938.77
47,Female,North West,Urban,Primary,Underemployed,29.0,24169.36
23,Male,South West,Rural,Secondary,Employed,,130609.14
20,Female,South West,Urban,Tertiary,Unemployed,0.0,0.0
30,Female,South East,Urban,Primary,Underemployed,15.0,24883.77
43,Female,North Central,Rural,Tertiary,Employed,23.0,126355.07
17,Male,,Urban,Primary,Employed,1.0,56214.3
34,Male,South South,Urban,Primary,Employed,17.0,102933.84
50,Male,North West,Urban,,Unemployed,27.0,0.0
33,Female,North East,Urban,Tertiary,Unemployed,12.0,0.0
40,Male,South West,Urban,Primary,Employed,24.0,112893.09
17,Female,South South,Urban,None,Employed,,155814.29
33,Male,North West,Urban,,Underemployed,15.0,57042.54
34,Female,North West,Urban,Tertiary,Employed,11.0,129764.21
46,Male,North West,Rural,Secondary,Unemployed,27.0,0.0
21,Male,North West,Urban,Secondary,Underemployed,5.0,29604.81
55,Male,South South,Urban,Secondary,Employed,36.0,76033.67
47,Male,South West,Urban,,Underemployed,32.0,18339.34
54,Female,South West,Urban,Tertiary,Underemployed,30.0,125073.01
53,Female,North Central,Rural,Primary,Employed,,108634.31
32,Female,South East,Rural,Secondary,Unemployed,16.0,0.0
54,Female,North West,Urban,Secondary,Unemployed,38.0,0.0
15,Female,North East,Rural,Secondary,Underemployed,0.0,41255.51
25,Female,North Central,Urban,Secondary,Employed,6.0,85445.05
42,Female,North West,Rural,Tertiary,Unemployed,19.0,0.0
39,Female,North Central,Rural,Secondary,Underemployed,20.0,37158.38
64,Male,North East,Rural,Secondary,Underemployed,45.0,40860.51
37,Female,North West,Urban,,Underemployed,22.0,41846.3
45,Male,North West,Urban,Tertiary,Unemployed,21.0,0.0
44,Female,South East,Urban,Primary,Underemployed,26.0,29730.51
56,Female,North West,Urban,None,Employed,37.0,56576.01
49,Male,,Urban,,Underemployed,30.0,50794.13
21,Male,North West,Rural,Secondary,Underemployed,5.0,32897.58
30,Female,,Urban,Tertiary,Employed,9.0,123412.41
40,Female,South South,Rural,,Employed,24.0,
62,Male,South South,Rural,Primary,Underemployed,45.0,33736.35
63,Female,South South,Rural,Primary,Employed,47.0,85902.31
16,Female,North East,Urban,Secondary,Employed,0.0,75670.79
15,Male,North East,Urban,None,Unemployed,,0.0
62,Female,North Central,Rural,Primary,Underemployed,44.0,21299.79
26,Female,North West,Rural,,Employed,10.0,87366.14
19,Male,North West,Rural,Tertiary,Unemployed,,0.0
51,Female,South South,Rural,,Employed,36.0,120253.14
46,Female,South West,Urban,Primary,Underemployed,27.0,31719.56
23,Male,South West,Urban,Tertiary,Unemployed,2.0,0.0
55,Male,South South,Urban,Secondary,Underemployed,36.0,47770.18
49,Male,,Rural,,Unemployed,28.0,0.0
33,Female,South West,Rural,Primary,Underemployed,17.0,29647.08
62,Female,South East,Rural,Secondary,Underemployed,43.0,34239.15
30,Female,North West,Rural,Tertiary,Employed,8.0,163191.12
17,Female,North East,Rural,Primary,Underemployed,,41524.67
34,Female,South South,Urban,Secondary,Unemployed,16.0,0.0
38,Male,South South,Urban,Primary,Employed,20.0,95116.25
47,Male,South South,Rural,Secondary,Underemployed,29.0,47265.7
38,Male,North Central,Urban,Tertiary,Underemployed,18.0,81992.03
25,Male,South South,Urban,Secondary,Employed,9.0,160255.37
63,Female,North West,Urban,Tertiary,Underemployed,43.0,58526.65
22,Female,North West,Urban,Secondary,Underemployed,4.0,71762.71
50,Male,North Central,Urban,,Employed,27.0,
52,Female,North Central,Rural,Secondary,Employed,33.0,121032.51
54,Female,North East,Rural,None,Underemployed,36.0,40919.15
34,Male,North East,Rural,Secondary,Underemployed,18.0,32269.07
49,Male,,Urban,Secondary,Employed,31.0,138793.64
62,Male,North Central,Rural,Tertiary,Unemployed,39.0,0.0
39,Male,South East,Rural,Secondary,Unemployed,,0.0
49,Female,South West,Rural,,Unemployed,33.0,0.0
39,Male,North West,Rural,,Unemployed,17.0,0.0
43,Male,North Central,Rural,,Unemployed,19.0,0.0
32,Female,South West,Urban,Secondary,Underemployed,15.0,
60,Female,,Rural,Tertiary,Underemployed,40.0,57549.08
32,Male,North East,Urban,Secondary,Underemployed,14.0,56909.57
16,Male,South West,Urban,None,Underemployed,0.0,32549.75
49,Male,South South,Rural,,Underemployed,33.0,28391.36
30,Male,,Urban,Tertiary,Underemployed,6.0,100707.62
55,Male,North East,Urban,None,Employed,40.0,82847.37
50,Female,North Central,Rural,Secondary,Underemployed,32.0,
47,Male,South West,Rural,Tertiary,Employed,,144074.68
18,Male,North West,Urban,Primary,Unemployed,2.0,0.0
47,Female,North West,Rural,Tertiary,Unemployed,25.0,0.0
28,Male,North East,Urban,Tertiary,Unemployed,5.0,
35,Male,South South,Urban,Tertiary,Unemployed,12.0,0.0
62,Male,South West,Urban,Primary,Underemployed,47.0,24467.73
34,Female,South West,Urban,,Employed,19.0,115086.54
22,Male,South East,Urban,Tertiary,Underemployed,2.0,75014.34
21,Female,North West,Urban,Primary,Underemployed,3.0,16742.94
17,Female,South South,Rural,Secondary,Underemployed,2.0,22984.01
31,Male,South West,Rural,Secondary,Employed,,148406.07
47,Female,North East,Rural,Primary,Underemployed,28.0,19014.6
62,Male,South East,Rural,Tertiary,Employed,38.0,
26,Male,South East,Urban,Secondary,Underemployed,8.0,50824.28
36,Female,South East,Rural,None,Employed,21.0,88944.05
36,Female,North West,Rural,None,Underemployed,20.0,
60,Female,South South,Urban,,Employed,45.0,105390.22
44,Male,South South,Urban,Primary,Underemployed,26.0,36800.7
52,Male,North East,Rural,Secondary,Underemployed,33.0,54272.24
52,Female,North West,Rural,None,Employed,,93053.82
59,Male,North West,Rural,Primary,Underemployed,44.0,29828.2
22,Male,,Urban,Tertiary,Unemployed,0.0,0.0
41,Male,South West,Urban,Secondary,Employed,,
41,Male,North East,Rural,Primary,Employed,23.0,
48,Female,North East,Rural,Tertiary,Employed,26.0,237839.39
35,Male,North East,Urban,Primary,Employed,17.0,106649.26
44,Female,South West,Urban,Tertiary,Employed,24.0,110537.83
47,Male,North Central,Rural,Secondary,Employed,30.0,104141.39
42,Female,,Rural,Secondary,Employed,23.0,77239.99
61,Male,South West,Urban,Secondary,Underemployed,46.0,
47,Male,South East,Urban,Secondary,Underemployed,31.0,41211.26
19,Male,North East,Rural,Tertiary,Unemployed,0.0,0.0
62,Male,North West,Rural,Tertiary,Unemployed,,0.0
33,Female,North Central,Urban,Primary,Unemployed,18.0,0.0
18,Female,North East,Urban,Secondary,Unemployed,0.0,0.0
49,Female,North West,Rural,Tertiary,Employed,26.0,12510.69
63,Male,South South,Urban,Secondary,Unemployed,44.0,0.0
31,Male,North Central,Rural,Tertiary,Underemployed,8.0,139130.62
58,Male,North West,Rural,Secondary,Employed,40.0,99458.36
42,Female,North West,Urban,Secondary,Unemployed,23.0,0.0
44,Female,North East,Rural,None,Underemployed,26.0,24810.68
43,Female,South South,Rural,Primary,Underemployed,24.0,45044.51
60,Male,North East,Rural,,Employed,44.0,76502.95
20,Female,North East,Urban,Secondary,Employed,2.0,160917.81
49,Male,South West,Rural,Secondary,Underemployed,,41188.36
55,Female,North East,Urban,Secondary,Employed,38.0,72343.36
51,Female,North West,Rural,Secondary,Underemployed,35.0,75585.77
38,Female,North West,Rural,Tertiary,Underemployed,15.0,102154.33
43,Female,North East,Urban,Primary,Underemployed,28.0,
63,Male,North West,Rural,Secondary,Employed,46.0,133235.6
60,Female,North West,Rural,None,Unemployed,41.0,0.0
45,Male,South East,Urban,,Employed,27.0,141567.66
49,Female,North West,Urban,Primary,Underemployed,30.0,18910.58
47,Male,South East,Rural,Primary,Underemployed,31.0,31004.5
35,Female,South East,Urban,,Underemployed,,21641.13
46,Female,North Central,Urban,None,Underemployed,29.0,17499.54
37,Female,,Rural,Secondary,Unemployed,,0.0
47,Female,North West,Rural,Tertiary,Employed,23.0,168492.9
17,Female,South West,Rural,Primary,Employed,1.0,134744.49
32,Female,,Urban,Secondary,Employed,17.0,106198.72
39,Female,South West,Urban,,Employed,,112367.54
56,Female,North West,Urban,Primary,Underemployed,41.0,19756.64
45,Male,South South,Rural,None,Underemployed,28.0,30064.95
17,Female,North West,Rural,Primary,Employed,,122802.28
54,Female,North East,Urban,Secondary,Unemployed,38.0,0.0
60,Female,North Central,Urban,Primary,Employed,45.0,123745.83
38,Male,North West,Rural,None,Employed,23.0,116355.29
64,Male,North Central,Rural,Primary,Underemployed,46.0,24434.12
46,Female,South East,Urban,Secondary,Underemployed,30.0,40248.06
61,Male,South East,Rural,Secondary,Employed,45.0,148634.56
36,Female,South South,Urban,Primary,Underemployed,21.0,37307.99
37,Male,North Central,Rural,Secondary,Unemployed,22.0,0.0
16,Male,South West,Rural,Secondary,Employed,,113808.18
41,Female,North West,Rural,,Underemployed,23.0,26164.45
56,Female,North Central,Urban,Primary,Employed,40.0,135017.41
16,Female,North West,Urban,Secondary,Employed,,107041.85
40,Female,North East,Rural,Secondary,Employed,,146853.56
31,Male,North East,Urban,Secondary,Employed,12.0,
54,Female,North Central,Rural,Secondary,Employed,36.0,82288.82
47,Male,South West,Rural,Primary,Unemployed,32.0,0.0
23,Female,South South,Rural,Primary,Underemployed,5.0,44510.81
57,Female,North East,Rural,Secondary,Underemployed,39.0,51800.96
62,Male,South South,Rural,Secondary,Employed,44.0,94413.22
53,Female,South East,Rural,,Employed,36.0,58275.83
43,Female,North Central,Urban,Tertiary,Employed,19.0,91949.96
56,Male,South West,Urban,Secondary,Underemployed,,44406.33
40,Female,North West,Urban,,Employed,22.0,157753.87
49,Male,South East,Urban,Secondary,Underemployed,32.0,41230.07
64,Male,South West,Rural,None,Underemployed,48.0,43027.09
39,Female,South South,Rural,Secondary,Underemployed,21.0,48038.54
38,Female,South West,Rural,Secondary,Unemployed,20.0,0.0
27,Female,South East,Rural,Primary,Employed,11.0,64565.49
21,Female,South East,Rural,Tertiary,Unemployed,,0.0
50,Female,North East,Rural,Secondary,Unemployed,32.0,0.0
59,Female,North East,Urban,Primary,Underemployed,41.0,25741.1
34,Male,North Central,Rural,Primary,Underemployed,15.0,18471.11
15,Male,North Central,Urban,None,Employed,,74320.95
22,Male,North West,Rural,Tertiary,Unemployed,0.0,0.0
60,Male,South South,Urban,,Underemployed,44.0,
30,Female,North Central,Rural,Secondary,Underemployed,11.0,21442.94
28,Male,South South,Rural,Primary,Underemployed,9.0,43615.16
26,Male,South East,Rural,Primary,Employed,9.0,106330.51
37,Male,South West,Rural,Secondary,Employed,21.0,95293.98
29,Female,South South,Rural,Secondary,Underemployed,13.0,53326.37
42,Female,North Central,Urban,Secondary,Underemployed,26.0,37467.79
48,Female,South South,Urban,Secondary,Underemployed,,9934.07
16,Female,North East,Rural,Secondary,Unemployed,,0.0
46,Female,North East,Urban,None,Underemployed,29.0,56610.22
37,Female,,Urban,None,Underemployed,19.0,31706.4
36,Male,North Central,Urban,Primary,Underemployed,17.0,24698.88
39,Female,South West,Urban,Secondary,Underemployed,21.0,20991.28
36,Female,North Central,Urban,Tertiary,Employed,13.0,82763.26
36,Female,North East,Urban,,Underemployed,17.0,44890.43
63,Female,South South,Urban,Primary,Underemployed,44.0,
56,Female,South West,Urban,Primary,Employed,40.0,122596.45
20,Female,North Central,Rural,Tertiary,Unemployed,0.0,0.0
29,Female,South West,Rural,Tertiary,Employed,5.0,99821.53
57,Male,South East,Urban,Primary,Underemployed,,43589.77
51,Female,South South,Rural,Secondary,Underemployed,32.0,56746.74
47,Male,North Central,Urban,,Underemployed,30.0,59823.87
22,Female,,Rural,Primary,Underemployed,7.0,34015.54
58,Female,North Central,Rural,Secondary,Unemployed,40.0,0.0
58,Male,North Central,Rural,Secondary,Employed,43.0,65748.46
19,Female,South South,Rural,None,Underemployed,4.0,19216.55
53,Male,North East,Urban,Secondary,Unemployed,36.0,
18,Female,South South,Urban,Primary,Underemployed,0.0,25408.04
20,Male,North Central,Rural,Secondary,Employed,5.0,143171.03
59,Female,South South,Urban,Tertiary,Underemployed,38.0,46869.63
46,Male,North West,Urban,Secondary,Unemployed,27.0,0.0
44,Female,South South,Urban,None,Underemployed,,28421.88
61,Male,South South,Urban,None,Underemployed,42.0,28410.51
49,Female,South South,Urban,Secondary,Employed,32.0,148538.63
54,Female,North West,Rural,,Underemployed,37.0,36072.04
30,Female,North West,Urban,Secondary,Underemployed,12.0,34846.61
27,Female,South West,Urban,Primary,Underemployed,9.0,
64,Female,North West,Rural,Secondary,Unemployed,46.0,0.0
56,Male,North West,Rural,Tertiary,Underemployed,,52082.24
44,Male,North West,Rural,Tertiary,Employed,20.0,
33,Male,North Central,Rural,Primary,Unemployed,18.0,0.0
31,Female,North Central,Rural,Secondary,Underemployed,16.0,41747.83
33,Female,North West,Rural,Primary,Employed,17.0,
42,Male,North West,Rural,Secondary,Unemployed,25.0,0.0
40,Female,North Central,Urban,None,Underemployed,22.0,32033.89
51,Female,,Rural,Secondary,Underemployed,32.0,52965.61
40,Female,North West,Urban,Secondary,Employed,23.0,144281.97
37,Male,,Rural,Tertiary,Unemployed,16.0,0.0
23,Male,South South,Urban,Secondary,Unemployed,8.0,0.0
26,Female,South South,Rural,Primary,Underemployed,7.0,33523.14
15,Female,South South,Urban,Tertiary,Unemployed,0.0,0.0
15,Male,South South,Rural,Primary,Employed,0.0,123509.47
61,Female,North East,Urban,,Unemployed,38.0,0.0
48,Female,South West,Urban,Secondary,Underemployed,29.0,56969.3
